location,district_soil_type,crop_type,year,season,soil_ph,soil_ec_dS_m,organic_carbon_pct,available_nitrogen_kg_ha,available_phosphorus_kg_ha,available_potassium_kg_ha,area_hectares,yield_kg_per_hectare,production_kg
tirunelveli,Red Loam,Pulses,2016,Kharif,6.67,0.72,0.24,251.7,5.8,209.5,1.07,698.3,746.9
tirunelveli,Red Loam,Rice,2022,Kharif,7.08,0.44,0.77,313.2,11.0,276.9,7.79,3234.3,25208.9
kovilpatti,Red Sandy Loam,Sorghum,2018,Rabi,7.28,0.05,0.48,330.1,17.5,56.4,2.72,1285.1,3497.5
nagapattinam,Coastal Alluvial,Sorghum,2023,Kharif,5.99,0.43,0.47,345.7,11.5,317.7,0.68,1640.5,1123.1
kovilpatti,Red Sandy Loam,Pulses,2024,Summer,7.18,0.78,0.62,261.9,20.1,315.2,9.25,779.2,7205.8
coimbatore,Red Sandy Loam,Rice,2024,Summer,7.07,0.3,0.13,251.8,16.6,225.0,4.76,3001.1,14274.9
tirunelveli,Red Loam,Rice,2024,Summer,7.05,0.45,0.79,227.5,16.2,166.6,3.67,3150.8,11576.0
vellore,Red Sandy Loam,Millets,2017,Rabi,7.43,0.52,0.8,271.9,12.1,165.0,0.2,1148.2,229.6
thanjavur,Alluvial Clay (Delta),Cotton,2020,Kharif,7.47,0.51,0.35,208.4,7.0,173.1,3.62,462.1,1672.6
thanjavur,Alluvial Clay (Delta),Cotton,2024,Rabi,7.36,0.05,0.53,243.9,14.1,299.9,1.3,373.7,484.2
coimbatore,Red Sandy Loam,Cotton,2021,Summer,7.07,0.49,0.66,233.7,25.2,218.5,0.51,466.8,239.3
nilgiris,Lateritic Hill Soil,Millets,2021,Kharif,7.92,0.05,0.89,246.3,26.0,122.5,1.89,1106.1,2085.2
kovilpatti,Red Sandy Loam,Sugarcane,2018,Summer,6.94,0.17,0.61,189.4,14.3,221.2,0.39,68426.4,26810.4
nagapattinam,Coastal Alluvial,Rice,2018,Summer,7.08,0.23,0.58,283.3,19.9,222.6,1.37,3382.9,4632.6
tirunelveli,Red Loam,Sorghum,2019,Kharif,7.64,0.39,0.67,278.0,13.5,268.2,2.51,1438.8,3605.1
kovilpatti,Red Sandy Loam,Cotton,2023,Kharif,6.35,0.55,0.74,262.5,22.5,235.4,0.28,523.4,148.2
trichy,Black Cotton Soil,Pulses,2016,Kharif,7.58,0.3,0.35,340.7,28.0,244.8,2.87,675.5,1940.8
trichy,Black Cotton Soil,Sorghum,2021,Summer,6.81,0.41,0.77,155.4,19.6,239.3,1.2,1419.5,1698.4
coimbatore,Red Sandy Loam,Cotton,2021,Rabi,7.28,0.45,0.59,156.9,12.6,173.6,1.3,411.2,534.7
vellore,Red Sandy Loam,Millets,2019,Kharif,7.2,0.49,0.67,319.3,37.5,205.5,1.32,970.5,1278.3
nagapattinam,Coastal Alluvial,Sugarcane,2017,Rabi,6.12,0.27,0.61,298.4,19.5,181.0,2.52,73143.7,183965.1
coimbatore,Red Sandy Loam,Cotton,2021,Summer,6.7,0.5,0.55,166.6,15.9,338.5,0.74,454.7,335.5
coimbatore,Red Sandy Loam,Cotton,2023,Kharif,7.13,0.57,0.56,168.1,19.2,274.2,1.66,442.4,733.2
trichy,Black Cotton Soil,Pulses,2021,Rabi,6.32,0.22,0.76,191.9,14.5,168.4,1.51,667.4,1004.7
krishnagiri,Red Loam,Pulses,2022,Kharif,6.41,0.29,0.57,198.2,18.2,144.4,0.38,713.9,269.2
coimbatore,Red Sandy Loam,Millets,2015,Summer,7.04,0.34,0.41,251.5,25.9,170.3,2.19,1045.2,2287.2
tirunelveli,Red Loam,Cotton,2024,Rabi,7.0,0.49,0.62,368.4,30.0,279.4,11.73,471.9,5536.9
vellore,Red Sandy Loam,Rice,2023,Kharif,7.11,0.37,0.98,337.1,21.2,170.4,1.97,3094.2,6099.3
thanjavur,Alluvial Clay (Delta),Cotton,2018,Kharif,6.64,0.68,0.62,118.5,16.4,152.9,2.51,459.6,1152.8
thanjavur,Alluvial Clay (Delta),Sugarcane,2019,Summer,7.25,0.37,0.63,274.2,20.0,157.4,1.29,66674.4,86231.9
trichy,Black Cotton Soil,Sorghum,2020,Kharif,7.03,0.27,0.86,171.9,19.8,343.1,0.53,1167.0,622.8
krishnagiri,Red Loam,Millets,2017,Summer,7.65,0.57,0.25,249.6,26.0,189.1,1.6,1131.2,1815.3
coimbatore,Red Sandy Loam,Sorghum,2018,Summer,7.01,0.22,0.71,215.7,18.6,176.4,1.16,1294.0,1504.7
vellore,Red Sandy Loam,Rice,2015,Kharif,7.42,0.45,0.5,109.3,15.6,61.1,1.02,3116.0,3178.1
coimbatore,Red Sandy Loam,Sugarcane,2023,Rabi,6.6,0.38,0.76,232.0,28.4,130.7,0.2,76055.7,15211.1
nilgiris,Lateritic Hill Soil,Pulses,2021,Kharif,6.45,0.56,0.3,340.4,24.3,145.7,0.68,770.7,523.4
coimbatore,Red Sandy Loam,Cotton,2024,Summer,7.04,0.5,0.67,295.8,22.8,226.7,0.23,466.4,106.4
krishnagiri,Red Loam,Rice,2018,Rabi,6.73,0.06,0.44,237.0,21.8,276.6,0.48,3400.3,1640.2
kovilpatti,Red Sandy Loam,Millets,2018,Rabi,6.89,0.44,0.25,147.9,25.0,357.7,0.62,824.1,508.9
thanjavur,Alluvial Clay (Delta),Rice,2023,Rabi,6.56,0.27,0.66,170.9,7.2,299.4,1.09,3029.8,3292.7
tirunelveli,Red Loam,Cotton,2017,Summer,8.5,0.27,0.35,100.3,14.1,196.3,1.69,404.6,685.3
nagapattinam,Coastal Alluvial,Millets,2017,Rabi,7.66,0.26,0.43,315.9,15.2,165.5,5.0,1209.1,6047.0
vellore,Red Sandy Loam,Millets,2021,Summer,6.1,0.4,0.35,341.2,16.3,215.3,0.72,951.4,683.4
krishnagiri,Red Loam,Cotton,2019,Summer,6.38,0.6,0.46,275.0,15.1,237.0,4.94,465.0,2298.5
coimbatore,Red Sandy Loam,Pulses,2019,Kharif,6.23,0.37,0.18,249.3,16.4,154.8,1.18,621.1,730.6
thanjavur,Alluvial Clay (Delta),Millets,2016,Kharif,7.2,0.47,0.72,389.2,16.7,215.1,0.2,1173.7,234.7
coimbatore,Red Sandy Loam,Rice,2022,Kharif,7.98,0.41,0.4,237.4,24.8,216.9,0.22,2911.5,654.4
nagapattinam,Coastal Alluvial,Pulses,2017,Rabi,6.83,0.39,0.41,147.8,23.9,99.2,0.74,611.4,450.4
nagapattinam,Coastal Alluvial,Sorghum,2021,Rabi,7.55,0.47,0.57,205.4,19.1,214.8,1.72,1424.0,2455.2
vellore,Red Sandy Loam,Rice,2023,Summer,6.87,0.36,0.77,239.3,12.7,321.2,0.64,3411.4,2170.2
vellore,Red Sandy Loam,Rice,2024,Kharif,6.67,0.42,0.2,234.1,12.7,215.7,1.31,3194.7,4183.3
coimbatore,Red Sandy Loam,Sorghum,2016,Rabi,6.57,0.49,0.66,239.9,12.7,194.3,0.2,1514.9,303.0
kovilpatti,Red Sandy Loam,Pulses,2018,Kharif,7.51,0.43,0.64,288.2,17.6,267.7,2.35,775.2,1821.5
nagapattinam,Coastal Alluvial,Sugarcane,2023,Kharif,7.44,0.19,0.27,265.8,21.1,228.2,0.2,64076.1,12815.2
kovilpatti,Red Sandy Loam,Sorghum,2017,Kharif,7.0,0.53,0.28,308.1,9.7,255.3,1.22,1430.3,1739.2
nagapattinam,Coastal Alluvial,Sugarcane,2015,Kharif,6.73,0.36,0.81,276.5,13.9,206.7,0.61,79675.7,48943.7
nagapattinam,Coastal Alluvial,Pulses,2022,Rabi,8.08,0.18,0.8,215.4,19.1,209.9,0.75,688.8,513.6
krishnagiri,Red Loam,Sorghum,2020,Rabi,5.9,0.54,0.64,269.3,17.6,190.5,1.81,1503.5,2724.9
kovilpatti,Red Sandy Loam,Sorghum,2024,Rabi,7.24,0.62,0.31,194.5,10.0,249.6,0.49,1463.3,717.7
trichy,Black Cotton Soil,Rice,2019,Summer,6.87,0.5,0.55,238.9,27.9,229.4,0.22,2899.3,634.3
trichy,Black Cotton Soil,Sorghum,2017,Summer,6.55,0.6,0.41,179.1,19.4,349.8,0.2,1280.5,262.1
kovilpatti,Red Sandy Loam,Rice,2016,Summer,6.21,0.51,0.43,265.2,21.1,172.4,8.13,3292.3,26772.5
krishnagiri,Red Loam,Sorghum,2024,Summer,6.59,0.57,0.53,199.2,17.3,276.8,0.59,1516.6,887.6
coimbatore,Red Sandy Loam,Cotton,2020,Summer,7.23,0.44,0.62,276.1,11.9,220.7,2.12,500.7,1060.9
thanjavur,Alluvial Clay (Delta),Cotton,2022,Rabi,6.75,0.19,0.77,220.0,19.5,178.1,1.62,422.8,687.0
vellore,Red Sandy Loam,Millets,2018,Summer,7.04,0.65,0.56,148.3,15.9,168.9,1.71,895.8,1535.9
coimbatore,Red Sandy Loam,Rice,2022,Kharif,6.53,0.25,1.12,197.0,16.1,171.9,0.96,3022.5,2900.2
vellore,Red Sandy Loam,Millets,2019,Rabi,5.84,0.35,0.52,218.1,19.1,206.4,1.85,914.4,1689.2
kovilpatti,Red Sandy Loam,Pulses,2015,Summer,7.08,0.21,0.46,275.2,15.2,312.9,14.2,747.1,10604.8
kovilpatti,Red Sandy Loam,Sugarcane,2022,Summer,6.28,0.08,0.29,231.2,20.8,254.4,0.29,68652.5,19687.2
tirunelveli,Red Loam,Sorghum,2019,Summer,6.72,0.46,0.49,248.0,25.4,184.4,2.21,1401.9,3100.9
kovilpatti,Red Sandy Loam,Cotton,2022,Kharif,6.69,0.61,0.6,217.1,20.1,79.2,1.0,435.9,435.6
trichy,Black Cotton Soil,Sorghum,2023,Rabi,6.49,0.21,0.42,231.0,22.7,201.6,4.03,1196.9,4819.2
thanjavur,Alluvial Clay (Delta),Rice,2015,Rabi,7.05,0.51,0.53,171.0,11.0,195.7,2.57,2938.3,7558.9
vellore,Red Sandy Loam,Sorghum,2019,Kharif,6.21,0.09,0.72,146.1,16.7,243.3,4.48,1261.9,5654.3
coimbatore,Red Sandy Loam,Sorghum,2022,Summer,7.32,0.25,0.86,218.8,12.8,284.6,0.31,1308.7,408.9
nagapattinam,Coastal Alluvial,Millets,2019,Kharif,6.37,0.88,0.44,177.0,15.3,403.9,0.3,880.4,261.1
coimbatore,Red Sandy Loam,Rice,2023,Kharif,7.32,0.55,0.73,278.5,20.9,400.1,4.07,2987.1,12142.8
vellore,Red Sandy Loam,Sorghum,2016,Rabi,6.09,0.62,0.47,237.9,20.2,233.2,0.21,1575.5,337.3
nilgiris,Lateritic Hill Soil,Sugarcane,2023,Rabi,6.32,0.67,0.55,272.8,11.5,217.8,2.78,59625.6,165652.6
kovilpatti,Red Sandy Loam,Millets,2018,Summer,5.74,0.36,0.79,200.0,24.5,222.1,5.34,1049.2,5604.2
vellore,Red Sandy Loam,Pulses,2022,Kharif,6.96,0.58,0.36,89.0,16.2,267.7,0.83,783.4,652.1
trichy,Black Cotton Soil,Pulses,2021,Kharif,6.3,0.39,0.32,270.6,16.5,199.6,2.1,679.9,1427.3
thanjavur,Alluvial Clay (Delta),Pulses,2016,Summer,7.64,0.45,0.55,284.3,6.8,251.0,0.74,764.8,565.5
nilgiris,Lateritic Hill Soil,Pulses,2018,Summer,6.85,0.16,0.34,211.5,18.2,305.5,0.21,704.5,147.1
krishnagiri,Red Loam,Pulses,2022,Summer,6.39,0.54,0.45,223.3,25.0,231.0,3.16,718.8,2270.8
krishnagiri,Red Loam,Rice,2024,Kharif,6.51,0.08,0.65,127.8,15.6,101.1,1.0,3037.7,3037.8
kovilpatti,Red Sandy Loam,Rice,2023,Kharif,6.81,0.58,0.45,161.6,11.5,96.6,3.2,2972.3,9504.3
madurai,Black Clay Loam,Pulses,2022,Kharif,7.28,0.59,0.35,114.4,27.8,266.9,1.03,825.3,850.8
vellore,Red Sandy Loam,Sorghum,2017,Rabi,5.86,0.34,0.67,203.5,14.3,211.3,0.24,1224.4,299.9
tirunelveli,Red Loam,Cotton,2022,Kharif,7.17,0.51,0.79,268.6,12.3,118.0,5.81,443.4,2574.2
nagapattinam,Coastal Alluvial,Rice,2016,Rabi,5.84,0.38,0.38,260.7,12.9,165.3,1.75,3119.2,5456.0
coimbatore,Red Sandy Loam,Sorghum,2024,Rabi,7.81,0.09,0.9,255.7,14.8,205.7,0.97,1655.4,1611.0
nagapattinam,Coastal Alluvial,Millets,2017,Kharif,7.86,0.65,0.2,226.4,4.0,303.8,0.81,891.4,726.2
trichy,Black Cotton Soil,Sugarcane,2017,Kharif,7.71,0.41,0.19,387.1,20.2,204.8,3.58,77892.4,278872.8
vellore,Red Sandy Loam,Sorghum,2015,Summer,6.31,0.52,0.64,181.8,10.1,162.1,2.46,1309.3,3220.7
nilgiris,Lateritic Hill Soil,Sorghum,2016,Summer,7.11,0.57,0.46,237.2,18.5,150.1,0.8,1384.4,1112.2
kovilpatti,Red Sandy Loam,Sugarcane,2022,Summer,7.55,0.38,0.34,200.1,13.3,188.1,3.39,62515.2,212150.3
nilgiris,Lateritic Hill Soil,Sorghum,2024,Kharif,6.08,0.57,0.78,236.2,16.2,239.0,0.2,1270.9,254.2
thanjavur,Alluvial Clay (Delta),Sugarcane,2022,Summer,7.18,0.41,0.82,278.5,11.1,183.5,0.54,81928.0,43878.5
nilgiris,Lateritic Hill Soil,Cotton,2020,Rabi,6.9,0.52,0.29,211.2,13.9,114.2,2.43,424.3,1029.2
trichy,Black Cotton Soil,Sorghum,2024,Kharif,7.78,0.54,0.51,262.4,14.9,201.8,0.2,1385.1,277.0
thanjavur,Alluvial Clay (Delta),Sugarcane,2019,Kharif,6.74,0.57,0.33,209.5,17.2,207.7,10.16,77698.6,789079.1
coimbatore,Red Sandy Loam,Rice,2018,Kharif,6.39,0.57,0.72,185.3,28.3,346.5,1.14,2905.5,3304.0
madurai,Black Clay Loam,Millets,2020,Kharif,6.5,0.53,0.73,87.7,18.0,80.8,2.28,1079.6,2462.4
nagapattinam,Coastal Alluvial,Rice,2021,Rabi,6.93,0.39,0.44,339.9,8.3,174.9,2.16,3047.7,6588.0
nagapattinam,Coastal Alluvial,Sugarcane,2017,Summer,6.95,0.08,0.48,204.7,23.2,259.8,1.75,68597.9,120009.4
krishnagiri,Red Loam,Sugarcane,2021,Kharif,7.08,0.81,0.1,306.3,10.7,223.4,1.56,72994.7,113892.1
madurai,Black Clay Loam,Rice,2018,Summer,6.71,0.76,0.37,211.9,17.5,162.3,2.83,3300.6,9335.7
krishnagiri,Red Loam,Rice,2015,Summer,7.29,0.4,0.4,324.2,13.5,196.2,0.25,3415.7,862.1
vellore,Red Sandy Loam,Pulses,2020,Summer,6.22,0.29,0.5,291.6,18.5,258.4,1.02,607.6,622.6
trichy,Black Cotton Soil,Cotton,2018,Rabi,7.64,0.4,0.55,130.0,15.8,201.9,3.47,360.7,1251.7
coimbatore,Red Sandy Loam,Sugarcane,2016,Rabi,7.26,0.45,0.3,87.2,12.6,293.8,3.62,57061.8,206358.0
krishnagiri,Red Loam,Sugarcane,2016,Kharif,7.37,0.65,0.69,193.1,24.2,166.5,1.45,75700.3,110138.6
krishnagiri,Red Loam,Millets,2017,Rabi,6.74,0.24,0.99,155.9,9.8,168.1,0.89,891.8,794.6
kovilpatti,Red Sandy Loam,Millets,2018,Kharif,7.31,0.62,0.66,248.5,17.9,189.7,1.1,1140.8,1253.1
trichy,Black Cotton Soil,Sugarcane,2015,Kharif,7.28,0.66,0.83,220.2,13.2,324.6,4.07,68580.0,278822.4
thanjavur,Alluvial Clay (Delta),Pulses,2017,Kharif,6.23,0.26,0.78,351.2,17.6,214.8,2.46,802.2,1969.5
nilgiris,Lateritic Hill Soil,Millets,2016,Summer,8.14,0.58,0.53,314.9,33.1,177.4,2.94,1087.4,3191.5
trichy,Black Cotton Soil,Sugarcane,2022,Rabi,6.52,0.05,0.46,205.7,13.0,293.8,1.45,64047.2,92814.9
thanjavur,Alluvial Clay (Delta),Cotton,2019,Summer,7.1,0.56,0.51,316.8,17.0,296.0,0.33,395.2,130.9
nagapattinam,Coastal Alluvial,Cotton,2020,Kharif,6.16,0.54,0.52,263.8,11.4,254.4,2.66,460.2,1222.3
thanjavur,Alluvial Clay (Delta),Millets,2021,Rabi,7.18,0.05,0.69,267.9,25.2,139.4,0.29,1078.0,308.4
madurai,Black Clay Loam,Millets,2022,Kharif,7.03,0.41,0.21,218.6,17.0,130.1,1.43,980.4,1406.4
thanjavur,Alluvial Clay (Delta),Pulses,2016,Summer,6.46,0.34,0.38,301.6,20.3,145.6,3.6,727.0,2616.2
trichy,Black Cotton Soil,Millets,2022,Rabi,6.82,0.31,0.62,157.7,18.2,200.9,0.2,1161.4,232.3
nilgiris,Lateritic Hill Soil,Rice,2016,Rabi,6.68,0.67,0.32,104.8,19.5,294.6,1.99,2953.6,5883.9
nilgiris,Lateritic Hill Soil,Pulses,2021,Rabi,6.88,0.24,0.44,280.6,19.6,277.4,0.2,791.5,158.3
krishnagiri,Red Loam,Millets,2018,Kharif,5.79,0.51,0.54,246.9,18.6,286.9,0.2,1085.9,217.2
tirunelveli,Red Loam,Sorghum,2019,Rabi,7.11,0.55,0.6,164.1,19.5,208.0,3.04,1219.4,3712.5
trichy,Black Cotton Soil,Cotton,2019,Summer,7.06,0.63,0.72,213.6,9.5,269.8,0.2,357.0,71.4
nilgiris,Lateritic Hill Soil,Rice,2023,Rabi,7.23,0.23,0.61,278.8,27.4,254.5,0.35,3363.0,1174.3
tirunelveli,Red Loam,Millets,2019,Rabi,6.83,0.38,0.7,218.8,26.5,219.8,4.63,1182.8,5481.5
madurai,Black Clay Loam,Millets,2019,Rabi,6.59,0.54,0.13,258.4,3.5,126.0,6.76,1000.6,6765.1
nagapattinam,Coastal Alluvial,Pulses,2022,Rabi,6.62,0.69,0.36,210.5,18.9,144.1,0.2,794.4,159.3
coimbatore,Red Sandy Loam,Pulses,2021,Summer,6.74,0.29,0.6,224.1,13.0,150.1,2.64,745.4,1964.9
vellore,Red Sandy Loam,Sugarcane,2024,Rabi,5.69,0.53,0.71,174.8,28.5,304.6,1.82,60622.4,110439.5
tirunelveli,Red Loam,Cotton,2024,Kharif,5.98,0.31,0.32,298.8,13.5,193.9,0.85,452.0,384.6
nagapattinam,Coastal Alluvial,Sorghum,2016,Kharif,7.74,0.05,0.49,191.0,18.3,249.2,1.48,1110.1,1643.4
coimbatore,Red Sandy Loam,Millets,2019,Summer,7.09,0.43,0.53,341.5,16.4,240.4,2.65,1171.3,3109.7
nilgiris,Lateritic Hill Soil,Rice,2017,Rabi,7.02,0.81,0.3,168.4,16.6,197.4,2.25,2536.4,5706.5
madurai,Black Clay Loam,Cotton,2017,Kharif,7.53,0.45,0.46,234.4,18.6,330.6,0.83,450.4,371.6
madurai,Black Clay Loam,Sorghum,2015,Summer,7.46,0.51,0.61,219.0,19.5,144.8,0.57,1352.9,769.4
nilgiris,Lateritic Hill Soil,Pulses,2019,Kharif,5.83,0.42,0.56,157.8,10.5,235.5,0.5,589.3,296.2
coimbatore,Red Sandy Loam,Sugarcane,2021,Summer,6.42,0.6,0.87,204.1,16.6,252.2,1.75,71726.3,125850.7
thanjavur,Alluvial Clay (Delta),Sugarcane,2022,Rabi,7.06,0.54,0.3,181.1,13.9,164.9,1.46,63176.1,91939.8
coimbatore,Red Sandy Loam,Rice,2019,Summer,6.29,0.61,0.76,289.2,26.2,233.5,0.2,3146.9,629.4
kovilpatti,Red Sandy Loam,Rice,2019,Summer,8.3,0.38,0.44,213.2,21.1,217.8,4.0,2471.5,9879.4
nilgiris,Lateritic Hill Soil,Cotton,2020,Summer,6.2,0.24,0.47,256.7,20.7,169.1,5.84,443.9,2593.3
trichy,Black Cotton Soil,Sugarcane,2019,Rabi,6.24,0.52,0.59,257.1,8.1,179.0,0.61,74574.3,45252.5
nagapattinam,Coastal Alluvial,Cotton,2016,Rabi,7.4,0.05,0.73,324.8,30.3,249.4,0.96,493.9,473.6
thanjavur,Alluvial Clay (Delta),Pulses,2017,Kharif,5.47,0.78,0.33,265.6,15.6,136.2,2.31,763.9,1761.0
nagapattinam,Coastal Alluvial,Rice,2021,Kharif,6.75,0.31,0.84,253.6,25.0,237.1,3.26,3383.8,11029.5
krishnagiri,Red Loam,Sugarcane,2021,Summer,7.03,0.62,0.42,139.7,17.4,172.0,2.33,65810.4,153412.2
kovilpatti,Red Sandy Loam,Pulses,2017,Kharif,6.47,0.54,0.5,243.4,14.6,186.0,0.31,764.0,233.5
nagapattinam,Coastal Alluvial,Sugarcane,2022,Kharif,6.83,0.67,0.93,266.9,5.5,275.2,0.2,78788.1,15757.6
coimbatore,Red Sandy Loam,Millets,2023,Rabi,6.13,0.48,0.67,283.8,5.2,270.6,4.44,979.3,4350.2
krishnagiri,Red Loam,Cotton,2016,Rabi,7.32,0.42,0.61,225.2,18.5,114.0,0.27,450.9,122.1
tirunelveli,Red Loam,Millets,2020,Kharif,7.64,0.25,0.68,320.3,15.9,317.6,1.4,1102.5,1549.0
madurai,Black Clay Loam,Cotton,2022,Kharif,6.38,0.5,0.75,259.7,15.3,320.3,0.4,406.9,162.1
kovilpatti,Red Sandy Loam,Sugarcane,2019,Kharif,5.8,0.63,0.72,215.5,22.2,320.6,4.3,58470.3,251406.2
thanjavur,Alluvial Clay (Delta),Rice,2021,Rabi,6.58,0.69,0.64,230.4,14.6,170.0,0.2,3607.0,721.4
thanjavur,Alluvial Clay (Delta),Cotton,2017,Summer,6.14,0.17,1.15,258.5,21.3,265.0,2.62,511.8,1342.3
tirunelveli,Red Loam,Rice,2019,Kharif,7.29,0.65,1.1,188.8,21.1,278.7,0.2,2921.7,584.3
nilgiris,Lateritic Hill Soil,Sorghum,2017,Rabi,7.4,0.69,0.54,188.6,14.0,219.6,2.54,1295.8,3286.4
coimbatore,Red Sandy Loam,Rice,2017,Summer,7.22,0.7,0.26,125.4,9.6,129.5,0.2,2852.2,570.4
thanjavur,Alluvial Clay (Delta),Millets,2022,Kharif,7.44,0.32,0.53,304.3,15.3,196.4,0.27,1048.0,286.3
nagapattinam,Coastal Alluvial,Rice,2022,Rabi,7.55,0.38,0.39,263.0,20.5,166.7,1.86,3336.9,6196.7
nilgiris,Lateritic Hill Soil,Sugarcane,2020,Summer,6.18,0.37,0.58,192.1,33.9,201.0,0.25,66104.6,16475.6
thanjavur,Alluvial Clay (Delta),Cotton,2023,Rabi,7.16,0.31,0.72,362.9,12.7,271.5,0.53,477.4,253.1
kovilpatti,Red Sandy Loam,Sorghum,2023,Summer,7.92,0.5,0.56,235.9,16.3,257.2,2.61,1331.9,3475.5
vellore,Red Sandy Loam,Rice,2024,Summer,6.0,0.64,0.41,366.3,14.9,258.8,0.91,3329.1,3015.1
vellore,Red Sandy Loam,Pulses,2019,Rabi,5.73,0.54,0.11,184.4,22.7,249.3,2.61,710.9,1853.6
coimbatore,Red Sandy Loam,Cotton,2017,Summer,6.66,0.48,0.55,208.1,22.6,272.2,1.64,409.2,673.0
nagapattinam,Coastal Alluvial,Cotton,2016,Summer,7.6,0.3,0.57,178.2,15.9,249.6,0.55,463.7,256.4
trichy,Black Cotton Soil,Pulses,2021,Rabi,7.21,0.64,0.3,222.1,11.1,191.6,0.2,815.7,163.1
madurai,Black Clay Loam,Rice,2017,Kharif,6.31,0.48,0.54,212.6,14.7,232.8,0.82,3020.4,2469.5
vellore,Red Sandy Loam,Cotton,2019,Summer,6.37,0.34,0.47,301.0,14.5,154.5,4.64,403.7,1871.7
tirunelveli,Red Loam,Rice,2017,Summer,7.21,0.64,0.49,322.8,12.4,229.4,2.09,3760.9,7877.3
coimbatore,Red Sandy Loam,Cotton,2024,Kharif,4.98,0.41,0.7,176.5,19.5,105.5,0.86,412.7,355.9
thanjavur,Alluvial Clay (Delta),Pulses,2018,Kharif,6.11,0.47,0.93,302.9,19.5,181.3,0.86,874.8,753.0
coimbatore,Red Sandy Loam,Rice,2020,Summer,6.22,0.9,0.57,272.3,31.0,288.1,2.97,3283.0,9746.9
nagapattinam,Coastal Alluvial,Rice,2021,Kharif,6.3,0.06,0.39,230.1,27.6,275.0,0.38,2750.5,1050.7
nilgiris,Lateritic Hill Soil,Millets,2019,Kharif,6.05,0.67,0.66,302.1,9.4,78.3,3.53,1017.6,3594.5
kovilpatti,Red Sandy Loam,Sorghum,2022,Summer,5.95,0.41,0.59,207.9,25.4,239.3,0.65,1290.0,835.8
nilgiris,Lateritic Hill Soil,Sorghum,2016,Kharif,6.24,0.39,0.51,216.2,3.0,228.2,0.24,1505.4,361.0
coimbatore,Red Sandy Loam,Sorghum,2016,Rabi,6.33,0.25,0.61,263.6,24.3,148.1,0.2,1513.9,302.8
coimbatore,Red Sandy Loam,Sugarcane,2018,Summer,6.87,0.05,0.7,193.6,18.7,223.1,0.23,71908.7,16441.8
coimbatore,Red Sandy Loam,Pulses,2024,Kharif,6.24,0.27,0.68,80.0,6.7,138.9,2.0,735.1,1467.6
coimbatore,Red Sandy Loam,Sugarcane,2016,Kharif,5.99,0.43,0.27,217.3,8.9,225.8,3.79,61870.3,234433.3
kovilpatti,Red Sandy Loam,Rice,2024,Rabi,7.41,0.42,0.59,250.6,18.6,197.1,1.51,3213.2,4836.1
trichy,Black Cotton Soil,Cotton,2021,Rabi,8.5,0.43,0.1,177.8,21.4,337.9,0.5,384.7,191.1
krishnagiri,Red Loam,Rice,2016,Summer,7.56,0.4,0.45,233.7,11.1,103.3,0.3,3160.1,955.5
madurai,Black Clay Loam,Sugarcane,2016,Rabi,6.69,0.5,0.51,312.8,18.9,187.4,0.99,76698.9,75952.3
thanjavur,Alluvial Clay (Delta),Pulses,2021,Kharif,6.78,0.09,0.82,215.5,4.6,358.9,5.28,760.2,4015.1
tirunelveli,Red Loam,Sorghum,2021,Kharif,5.38,0.64,0.1,259.2,16.5,387.2,0.54,1261.4,675.4
trichy,Black Cotton Soil,Rice,2021,Summer,6.75,0.06,0.6,260.2,27.1,317.8,4.06,3952.4,16060.7
vellore,Red Sandy Loam,Cotton,2024,Summer,5.94,0.49,0.16,261.5,13.5,385.6,3.37,376.8,1269.8
krishnagiri,Red Loam,Rice,2015,Rabi,6.22,0.26,0.21,250.9,20.2,122.8,0.28,3105.1,878.0
nagapattinam,Coastal Alluvial,Millets,2015,Summer,6.4,0.34,0.1,260.2,8.1,150.7,0.27,967.7,260.8
kovilpatti,Red Sandy Loam,Sorghum,2023,Kharif,7.0,0.51,0.68,269.6,16.2,84.2,0.94,1560.6,1472.3
trichy,Black Cotton Soil,Rice,2024,Kharif,6.68,0.64,0.38,247.0,30.4,116.6,1.38,2869.3,3955.8
trichy,Black Cotton Soil,Sugarcane,2015,Rabi,6.66,0.73,0.15,215.3,27.7,288.7,0.32,57319.9,18081.7
nagapattinam,Coastal Alluvial,Rice,2016,Rabi,8.26,0.6,0.57,319.7,22.9,290.7,0.6,2865.3,1713.5
madurai,Black Clay Loam,Sugarcane,2024,Kharif,5.43,0.68,0.53,205.2,17.5,122.0,1.61,63213.0,101936.0
thanjavur,Alluvial Clay (Delta),Rice,2021,Summer,7.96,0.4,0.69,328.4,22.4,132.0,1.01,3584.8,3631.9
coimbatore,Red Sandy Loam,Sorghum,2016,Rabi,6.27,0.17,0.17,305.0,17.4,311.2,1.26,1123.3,1410.4
tirunelveli,Red Loam,Sugarcane,2022,Kharif,6.39,0.59,0.5,233.5,19.0,140.4,3.26,68411.2,223285.2
trichy,Black Cotton Soil,Sorghum,2024,Rabi,6.75,0.21,0.39,250.1,22.9,202.1,3.76,1251.5,4703.8
thanjavur,Alluvial Clay (Delta),Cotton,2019,Summer,6.36,0.33,0.45,202.3,14.1,204.8,3.57,510.0,1820.2
vellore,Red Sandy Loam,Sugarcane,2018,Summer,7.33,0.35,0.6,207.3,18.5,149.9,4.17,66842.3,278996.5
